Wall time,Step,Value
1558303517.1313493,1018,0.2246570736169815
1558304116.879122,2213,0.34203383326530457
1558304723.4086766,3401,0.42403149604797363
1558305923.98587,5950,0.576360821723938
1558307126.547412,8484,0.5952565670013428
1558308327.7863867,11007,0.5920090675354004
1558308921.6910725,12181,0.5485520362854004
1558310107.7430174,14702,0.5875466465950012
1558310707.6027517,15911,0.5728738307952881
1558311921.7345102,18493,0.5761429667472839
1558313123.3073773,21046,0.5634177923202515
1558314312.435316,23583,0.5644691586494446
1558315512.7635896,26151,0.5458455085754395
1558316134.0963008,27360,0.556546151638031
1558317320.2392147,29886,0.5407830476760864
1558318525.8847487,32423,0.574057936668396
1558319737.9811735,34935,0.5526574850082397
1558320915.3519585,37415,0.5843533873558044
1558321524.0557995,38619,0.5761598348617554
1558322724.1941373,41152,0.5512717366218567
1558323326.3081357,42343,0.563459038734436
1558323923.0202405,43486,0.5400187969207764
